ticker,max_drawdown,num_drawdowns,gics_industry_group
BLNK,-82.09,11,Capital Goods
BLUE,-90.6,2,"Pharmaceuticals, Biotechnology & Life Sciences"
BLX,-22.26,10,Financial Services
BMBL,-78.69,1,Media & Entertainment
BMEA,-92.87,5,"Pharmaceuticals, Biotechnology & Life Sciences"
BMI,-43.18,6,Technology Hardware & Equipment
BMRC,-34.43,9,Banks
BMRN,-48.02,5,"Pharmaceuticals, Biotechnology & Life Sciences"
BMY,-32.5,6,"Pharmaceuticals, Biotechnology & Life Sciences"
BNL,-22.32,3,Equity Real Estate Investment Trusts (REITs)
BOC,-30.87,4,Media & Entertainment
BOH,-25.7,3,Banks
BOKF,-26.58,11,Banks
BOOM,-71.63,5,Energy
BOOT,-48.93,10,Consumer Discretionary Distribution & Retail
BORR,-77.0,9,Energy
BOX,-36.99,4,Software & Services
BPMC,-34.26,5,"Pharmaceuticals, Biotechnology & Life Sciences"
BPOP,-23.23,7,Banks
BR,-30.33,5,Commercial & Professional Services
BRBR,-75.46,4,Household & Personal Products
BRCC,-89.12,5,"Food, Beverage & Tobacco"
BRK/B,-14.95,1,Financial Services
BRKL,-29.01,9,Banks
BRKR,-68.87,3,"Pharmaceuticals, Biotechnology & Life Sciences"
BRO,-42.7,3,Insurance
BRSL,-47.3,4,Consumer Services
BRSP,-44.08,6,Financial Services
BRX,-24.07,3,Equity Real Estate Investment Trusts (REITs)
BRY,-75.31,7,Energy
BRZE,-70.32,1,Software & Services
BSRR,-29.66,6,Banks
BSX,-30.18,6,Health Care Equipment & Services
BSY,-45.86,3,Software & Services
BTAI,-74.01,4,"Pharmaceuticals, Biotechnology & Life Sciences"
BTBT,-72.74,9,Software & Services
BTU,-65.4,11,Energy
BURL,-26.98,6,Consumer Discretionary Distribution & Retail
BUSE,-32.42,7,Banks
BV,-37.32,4,Commercial & Professional Services
BW,-46.8,6,Capital Goods
BWA,-34.15,4,Automobiles & Components
BWB,-22.19,11,Banks
BWIN,-66.07,5,Insurance
BWMN,-56.21,8,Capital Goods
BWXT,-33.04,6,Capital Goods
BX,-39.68,10,Financial Services
BXC,-59.52,8,Capital Goods
BXMT,-24.15,7,Financial Services
BXP,-36.63,4,Equity Real Estate Investment Trusts (REITs)
BY,-27.48,10,Banks
BYD,-25.58,6,Consumer Services
BYND,-95.14,3,"Food, Beverage & Tobacco"
BZH,-49.79,11,Consumer Durables & Apparel
C,-31.31,13,Banks
CABA,-95.9,8,"Pharmaceuticals, Biotechnology & Life Sciences"
CABO,-87.29,1,Media & Entertainment
CAC,-28.5,7,Banks
CACC,-32.74,4,Financial Services
CACI,-42.88,5,Commercial & Professional Services
CADE,-32.76,9,Banks
CAG,-51.02,3,"Food, Beverage & Tobacco"
CAH,-18.92,2,Health Care Equipment & Services
CAKE,-37.03,5,Consumer Services
CAL,-78.1,4,Consumer Discretionary Distribution & Retail
CALM,-39.21,4,"Food, Beverage & Tobacco"
CALX,-37.73,7,Technology Hardware & Equipment
CANOQ,-96.56,3,Health Care Equipment & Services
CAR,-68.41,4,Transportation
CARE,-31.75,10,Banks
CARG,-37.88,9,Media & Entertainment
CARM,-64.93,2,"Pharmaceuticals, Biotechnology & Life Sciences"
CARR,-39.08,6,Capital Goods
CARS,-51.47,7,Media & Entertainment
CART,-35.37,8,Consumer Staples Distribution & Retail
CASH,-21.67,6,Banks
CASS,-24.06,3,Financial Services
CASY,-14.42,5,Consumer Staples Distribution & Retail
CAT,-34.29,3,Capital Goods
CATC,-18.12,2,Banks
CATY,-30.7,10,Banks
CAVA,-71.11,6,Consumer Services
CB,-14.63,8,Insurance
